"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"1413252","occ","","","175900","Chersine hermanni","species","94333","Middle Pleistocene","","0.781","0.126","66368"
"1413274","occ","","","190860","Testudo graeca","species","364325","Pleistocene","","2.588","0.0117","66368"
"1413587","occ","","","195261","Testudo graeca","species","364325","Pleistocene","","2.588","0.0117","66478"
"1413632","occ","","","195273","Testudo kenitrensis","species","388620","Late Pliocene","","3.6","2.588","66482"
"1413634","occ","","","146601","Namibchersus namaquensis","species","203528","Early Miocene","","23.03","15.97","66485"
"1413649","occ","","","168036","Namibchersus namaquensis","species","203528","Early Miocene","","23.03","15.97","66484"
"1413662","occ","","","195282","Homopus fenestratus","species","374266","Neogene","","23.03","2.588","66489"
"1413663","occ","","","183152","Psammobates antiquorum","species","374267","Early Pleistocene","","2.588","0.781","66490"
"1413677","occ","","","194074","Testudo indica","species","382658","Holocene","","0.0117","0","66500"
"1413686","occ","","","195283","Testudo shensiensis","species","364329","Late Miocene","","11.608","5.333","44012"
"1413691","occ","","","195284","Testudo sphaerica","species","341268","Late Miocene","","11.608","5.333","44012"
"1413692","occ","","","179050","Testudo shansiensis","species","341266","Late Miocene","","11.608","5.333","44012"
"1413703","occ","","","195285","Testudo hipparionum","species","341264","Late Miocene","","11.608","5.333","44012"
"1413716","occ","","","195286","Testudo honanensis","species","341267","Late Miocene","","11.608","5.333","44012"
"1414067","occ","","","195408","Hesperotestudo osborniana","species","121689","Harrisonian","","24.8","20.43","64765"
"1414068","occ","","","17152","Stylemys nebrascensis","species","235294","Orellan","","33.9","33.3","64803"
"1414073","occ","","","195410","Hesperotestudo turgida","species","121672","Pleistocene","","2.588","0.0117","64327"
"1414313","occ","","","42273","Kansuchelys ovalis","species","341252","Ruscinian","","5.333","3.2","64237"
"1414496","occ","","","192670","Geochelone kalganensis","species","121683","Tertiary","","66","2.588","64237"
"1414497","occ","","","42273","Testudo shensiensis","species","364329","Ruscinian","","5.333","3.2","64237"
"1414498","occ","","","42273","Testudo shensiensis","species","364329","Ruscinian","","5.333","3.2","64237"
"1414499","occ","","","42273","Testudo sphaerica","species","341268","Ruscinian","","5.333","3.2","64237"
"1414500","occ","","","42273","Testudo shansiensis","species","341266","Ruscinian","","5.333","3.2","64237"
"1414501","occ","","","42273","Testudo honanensis","species","341267","Ruscinian","","5.333","3.2","64237"
"1414502","occ","","","179049","Testudo honanensis","species","341267","Miocene","","23.03","5.333","64237"
"1414781","occ","","","195517","Chelonoidis dominicensis","species","374950","Quaternary","","2.588","0","66550"
"1414974","occ","","","195564","Chersine hermanni","species","94333","Middle Pleistocene","","0.781","0.126","66563"
"1414980","occ","","","56733","Testudo graeca","species","364325","Early Pleistocene","","2.588","0.781","66565"
"1416637","occ","","","93517","Megalochelys sivalensis","species","375519","Early Pleistocene","","2.588","0.781","66692"
"1416639","occ","","","93697","Testudo margae","species","358990","Pleistocene","","2.588","0.0117","66693"
"1416864","occ","","","195987","Megalochelys sivalensis","species","375519","Pleistocene","","2.588","0.0117","66702"
"1416883","occ","","","92070","Megalochelys sivalensis","species","375519","Pliocene","","5.333","2.588","66703"
"1416884","occ","","","92070","Megalochelys sivalensis","species","375519","Pliocene","","5.333","2.588","66704"
"1417094","occ","","","190386","Hesperotestudo crassiscutata","species","173079","Miocene","","23.03","5.333","54433"
"1417095","occ","","","196056","Hesperotestudo crassiscutata","species","173079","Pleistocene","","2.588","0.0117","54433"
"1419103","occ","","","196664","Gopherus hexagonatus","species","105238","Late Pleistocene","","0.126","0.0117","66907"
"1419104","occ","","","196665","Gopherus hexagonatus","species","105238","Late Pleistocene","","0.126","0.0117","66907"
"1419105","occ","","","196666","Gopherus hexagonatus","species","105238","Late Pleistocene","","0.126","0.0117","66907"
"1419106","occ","","","196667","Gopherus hexagonatus","species","105238","Late Pleistocene","","0.126","0.0117","66907"
"1422160","occ","","","197471","Stylemys bottii","species","105290","Miocene","","23.03","5.333","67341"
